GEOID10,total_pop,median_age,pct_hispanic,pct_white,pct_black,pct_asian,pct_male,pct_single_family_home,med_home_value,med_rooms_per_home,pct_built_before_1940,pct_renting,rental_vacancy_rate,avg_renter_household_size,med_gross_rent,med_household_income,mean_commute_time,pct_commute_drive_alone,pct_below_poverty,pct_college_grad_student,pct_same_residence_year_ago,pct_bachelors_degree,pct_english_only,pct_foreign_born
6037621324,3856,41.4,18.8,69.1,1.1,294,50.2,11.6,880300,4,14.8,65,10,2.09,1878 (USD),"$102,083 ",35.8,77.4,4.9,23.1,79.7,64.2,83.9,17.7
6037800328,2989,35.9,8.1,67.1,4.2,532,52.9,36.6,652900,5.3,0,45.7,0,2.39,2134 (USD),"$99,728 ",33.4,79.3,11.9,35,84.2,67.6,64.1,32.3
6037800204,4739,50,7.8,76.7,0.4,437,47.2,63.9,1366400,6.6,1.3,26.5,6.2,2.11,2248 (USD),"$121,417 ",37.9,81.6,8.1,12.7,85.5,63.2,67.7,29.4
6037930101,61,49.2,29.5,44.3,0,4,47.5,86.6,450000,4.4,26,28,0,2,,"$104,107 ",24.1,78.1,0,20,100,46.7,70.5,16.4
6037980004,0,,,,,0,,,,,,,,,,,,,,,,,,
6037980003,0,,,,,0,,,,,,,,,,,,,,,,,,
6037980002,0,,,,,0,,,,,,,,,,,,,,,,,,
6037980001,0,,,,,0,,,,,,,,,,,,,,,,,,
6037930301,823,42.8,19.9,66,8.1,8,68.7,89.4,289000,4.9,18.2,17.9,0,1.23,1238 (USD),"$77,188 ",34.4,65.2,20.5,71.1,67,18.3,87.4,8.4
6037920338,6150,38.5,16.4,52.7,3.1,1475,46.3,87.8,654300,7.3,0,9.4,0,2.63,2113 (USD),"$150,195 ",40.8,81.2,7.8,20.1,87.2,56.8,67.6,26.4
6037920119,2008,38.6,26.3,54.6,2.3,251,50.2,98.9,579400,7.5,0.9,6.1,0,4.55,3141 (USD),"$134,917 ",39.5,75.4,6.2,29.3,94.6,53.1,76,18.1
6037900608,3539,35.2,43,24.2,28.7,53,45.6,89.5,183600,6.7,0.4,48.9,0,3.59,1265 (USD),"$48,265 ",28.3,91.9,23,27,89.8,11.1,85.3,7.2
6037900507,7212,32,48.9,26.4,16.4,473,47.3,60,151700,6.2,0,43.3,3.7,3.43,1005 (USD),"$46,592 ",34.2,85.6,23.8,20.7,93.9,11,73.9,13.8
6037900506,4458,29.9,39.3,20.1,34.5,77,49.2,82.7,196800,7,0,47.8,6,3.4,1209 (USD),"$41,429 ",33.4,82.1,35.4,28.6,96.3,14.2,82.2,7.3
6037900505,3732,29,42.6,28,26,16,47.9,72.7,168600,6.2,0,50.2,8.8,3.12,744 (USD),"$34,011 ",33.6,83.2,30.9,18.2,94.4,12.3,72.9,14.9
6037900104,6124,33.3,53.2,32.8,11.9,52,49,97.6,149000,5.4,0,29.1,6,4.32,1067 (USD),"$45,365 ",49.1,80.4,25,17.3,88.2,9.2,64.8,18.3
6037621204,3160,44.3,12.1,66.8,4.3,443,52.3,8,724600,3.5,1.4,70.2,0,1.65,2008 (USD),"$88,639 ",30.5,74.4,8.6,40.2,69.8,55.8,79.5,20.9
6037621104,6884,35.9,9.5,77.3,2.5,457,50.3,31.5,1228600,4.2,7.4,60.6,0,1.98,1971 (USD),"$131,500 ",34.7,77.8,4.8,24.9,66.9,77,91.4,11.2
6037621004,4365,37.6,6.6,83.3,0,241,49.5,49,1744200,4.6,18,60.3,0,1.8,2188 (USD),"$108,281 ",30.7,81.7,5.5,32.8,86,71,88.2,8.7
6037620904,2822,45.3,3,85.7,0,162,45.8,77,2000001,6.5,18.1,36.2,0,2.53,2133 (USD),"$176,613 ",27.3,74.4,5.4,14.4,81,76.1,91.5,10.3
6037920116,5149,37.8,23.6,56.1,6.4,500,47.7,84,441300,6.3,0,5.5,0,3.35,2121 (USD),"$105,431 ",28.7,76.3,4.7,25.8,93.3,36.3,76.4,19.2
6037920045,4690,41.5,24.3,57.8,1.1,553,48.1,91.5,489700,6.5,0.8,6.2,0,4.27,2589 (USD),"$119,770 ",31.5,79.3,5.1,25.1,97.6,41.5,77.1,19.4
